"var","time","Min.","2.5%","Median","Mean","97.5%","Max."
"Minsub",1.91666666666667,0.410726835536054,0.450631603398285,0.496951915818286,0.495735710379517,0.538806882997353,0.568376199842111
"Minsub",2,0.405721212335002,0.445905550054332,0.492148397093613,0.491249399519169,0.534576831119538,0.563566586127092
"Minsub",2.08333333333333,0.400522565242278,0.44088052559065,0.487240887239455,0.48655519551565,0.530145937478746,0.558618470270834
"Minsub",2.1,0.399463370415162,0.439919950253653,0.486354094516819,0.485594853848017,0.529247154677593,0.557615041616823
"Minsub",2.16666666666667,0.395171532036441,0.435232401431822,0.482310418051853,0.481690935253121,0.525624247318213,0.553674857835901
"Minsub",2.25,0.389702307825338,0.43026522637018,0.477505694971009,0.476688299722361,0.520864694033791,0.549209327787477
"Minsub",2.33333333333333,0.384143722609155,0.425308485409551,0.472205502231411,0.471573931025003,0.516645350359157,0.54464637470373
"Minsub",2.41666666666667,0.378520125644192,0.420197012621517,0.466994894447931,0.466370328478532,0.512222350518984,0.540005838745584
"Minsub",2.5,0.372852118425559,0.414982040391848,0.461541665896787,0.461096575534219,0.507593401405846,0.535304156920196
"Minsub",2.58333333333333,0.367157164735849,0.409138806809037,0.455977224533242,0.455768932201203,0.502418508870421,0.530555009767673
"Minsub",2.66666666666667,0.361450091909934,0.4032829459033,0.450691031595806,0.450401312088012,0.497372756415681,0.525769835705009
"Minsub",2.75,0.355743508664325,0.397308032764627,0.445161820280836,0.445005672618183,0.492538689550342,0.520958246292247
"Minsub",2.8,0.352324330363014,0.393748035926666,0.441825961997883,0.441759193574422,0.489551423752545,0.51806204532389
"Minsub",2.83333333333333,0.350048155307292,0.391350254120305,0.439664082837046,0.439592336111868,0.487555873456268,0.516128362986067
"Minsub",2.91666666666667,0.344373192736064,0.385271860721401,0.434144670713865,0.434170250096467,0.482556709820418,0.511287085797204
"Minsub",3,0.338726443405416,0.379222566865969,0.428676883286461,0.428747200894669,0.478011253998124,0.506440310006373
"Minsub",3.08333333333333,0.333114593242638,0.372949263301219,0.423171122164967,0.423329989934133,0.473293918896016,0.501593101761793
"Minsub",3.16666666666667,0.327543358813648,0.367179402559117,0.417695303966948,0.417924577743251,0.468383964047224,0.496749838646517
"Minsub",3.25,0.322017627804948,0.361300628431054,0.412315096254546,0.412536203542497,0.463741417622099,0.491914324001442
"Minsub",3.33333333333333,0.316541577863247,0.355665550512269,0.406806796834532,0.407169485347699,0.458804390319601,0.487089880442737
"Minsub",3.41666666666667,0.311082032085163,0.349961544957396,0.401518569031844,0.401828502693388,0.453934166772012,0.482279425237726
"Minsub",3.5,0.305110728516132,0.344560028040086,0.396204350835134,0.396516865906361,0.449173181881016,0.477485531815608
"Minsub",3.58333333333333,0.299231961936006,0.338922498569698,0.390962762363064,0.391237774580386,0.443913616921171,0.472710480281358
"Minsub",3.66666666666667,0.293445922797654,0.333317110802743,0.385744413769949,0.385994066498962,0.439166640613668,0.467956298479169
"Minsub",3.75,0.287752633510203,0.327776663673483,0.380561531960436,0.380788259299705,0.434208390823505,0.463224795961998
"Minsub",3.83333333333333,0.282151969456055,0.322190027331036,0.375442704806621,0.375622586315385,0.429425566411399,0.458517592331014
"Minsub",3.91666666666667,0.276643676736413,0.316524374494573,0.370224425519486,0.370499027073926,0.425086855929081,0.453836140597505
"Minsub",4,0.271227387406694,0.311165736410813,0.365127898445453,0.365419333616413,0.420556585080336,0.449181746721116
"Minsub",4.08333333333333,0.26590263270931,0.305737879820433,0.360075474848119,0.360385053419644,0.415662268312022,0.444555586100724
"Minsub",4.16666666666667,0.260668854498019,0.300798117814029,0.355109735028624,0.355397549201099,0.410768832088788,0.439958717388884
"Minsub",4.25,0.255525415290224,0.295890640367858,0.350044534012784,0.350458016330263,0.406386528492149,0.435392094287589
